工步时间,电压(V),容量(Ah),能量(Wh),系统记录时间,最大单体温度(℃)
0:21:57.000,3.261,57.445412,188.158493,2025/09/26 20:06:25,32.5
0:21:58.000,3.2611,57.489021,188.300674,2025/09/26 20:06:26,32.5
0:21:59.000,3.2609,57.532722,188.443161,2025/09/26 20:06:27,32.5
0:22:00.000,3.2611,57.575199,188.581665,2025/09/26 20:06:28,32.5
0:22:01.000,3.261,57.619942,188.727554,2025/09/26 20:06:29,32.5
0:22:02.000,3.261,57.663555,188.869751,2025/09/26 20:06:30,32.5
0:22:03.000,3.2609,57.707119,189.01181,2025/09/26 20:06:31,32.5
0:22:04.000,3.2609,57.750774,189.154144,2025/09/26 20:06:32,32.5
0:22:05.000,3.261,57.795128,189.298752,2025/09/26 20:06:33,32.5
0:22:06.000,3.2609,57.83839,189.439804,2025/09/26 20:06:34,32.5
0:22:07.000,3.2609,57.882,189.58197,2025/09/26 20:06:35,32.5
0:22:08.000,3.261,57.92561,189.724167,2025/09/26 20:06:36,32.5
0:22:09.000,3.2609,57.969223,189.866348,2025/09/26 20:06:37,32.5
0:22:10.000,3.261,58.012833,190.00853,2025/09/26 20:06:38,32.5
0:22:11.000,3.2609,58.056488,190.150848,2025/09/26 20:06:39,32.5
0:22:12.000,3.2608,58.100098,190.293015,2025/09/26 20:06:40,32.5
0:22:13.000,3.2609,58.14262,190.431641,2025/09/26 20:06:41,32.5
0:22:14.000,3.2608,58.187321,190.577377,2025/09/26 20:06:42,32.5
0:22:15.000,3.2609,58.230972,190.719681,2025/09/26 20:06:43,32.5
0:22:16.000,3.2609,58.274498,190.861572,2025/09/26 20:06:44,32.5
0:22:17.000,3.2608,58.318153,191.003891,2025/09/26 20:06:45,32.5
0:22:18.000,3.2608,58.361763,191.146072,2025/09/26 20:06:46,32.5
0:22:19.000,3.2607,58.405331,191.288101,2025/09/26 20:06:47,32.5
0:22:20.000,3.2608,58.448986,191.430405,2025/09/26 20:06:48,32.5
0:22:21.000,3.2608,58.492813,191.573288,2025/09/26 20:06:49,32.5
0:22:22.000,3.2608,58.536163,191.714615,2025/09/26 20:06:50,32.5
0:22:23.000,3.2607,58.579819,191.856918,2025/09/26 20:06:51,32.5
0:22:24.000,3.2608,58.623428,191.9991,2025/09/26 20:06:52,32.5
0:22:25.000,3.2608,58.666996,192.141129,2025/09/26 20:06:53,32.5
0:22:26.000,3.2609,58.710648,192.283447,2025/09/26 20:06:54,32.5
0:22:27.000,3.2608,58.754261,192.425613,2025/09/26 20:06:55,32.5
0:22:28.000,3.2609,58.797871,192.56778,2025/09/26 20:06:56,32.5
0:22:29.000,3.2607,58.84148,192.709961,2025/09/26 20:06:57,32.5
0:22:30.000,3.2606,58.885094,192.852127,2025/09/26 20:06:58,32.5
0:22:31.000,3.2608,58.928745,192.994446,2025/09/26 20:06:59,32.5
0:22:32.000,3.2606,58.972313,193.136475,2025/09/26 20:07:00,32.5
0:22:33.000,3.2607,59.015926,193.278641,2025/09/26 20:07:01,32.5
0:22:34.000,3.2607,59.059494,193.42067,2025/09/26 20:07:02,32.5
0:22:35.000,3.2607,59.103146,193.562988,2025/09/26 20:07:03,32.5
0:22:36.000,3.2606,59.146759,193.705154,2025/09/26 20:07:04,32.5
0:22:37.000,3.2607,59.190369,193.847336,2025/09/26 20:07:05,32.5
0:22:38.000,3.2606,59.233936,193.989365,2025/09/26 20:07:06,32.5
0:22:39.000,3.2606,59.277546,194.131531,2025/09/26 20:07:07,32.5
0:22:40.000,3.2606,59.321156,194.273697,2025/09/26 20:07:08,32.5
0:22:41.000,3.2606,59.364811,194.416016,2025/09/26 20:07:09,32.5
0:22:42.000,3.2607,59.406895,194.553207,2025/09/26 20:07:10,32.5
0:22:43.000,3.2604,59.452034,194.700363,2025/09/26 20:07:11,32.5
0:22:44.000,3.2605,59.495644,194.842529,2025/09/26 20:07:12,32.5
0:22:45.000,3.2605,59.539257,194.984695,2025/09/26 20:07:13,32.5
0:22:46.000,3.2605,59.582867,195.126877,2025/09/26 20:07:14,32.5
0:22:47.000,3.2606,59.625778,195.266769,2025/09/26 20:07:15,32.5
0:22:48.000,3.2606,59.670086,195.411209,2025/09/26 20:07:16,32.5
0:22:49.000,3.2604,59.713654,195.553238,2025/09/26 20:07:17,32.5
0:22:50.000,3.2606,59.757309,195.695557,2025/09/26 20:07:18,32.5
0:22:51.000,3.2604,59.800877,195.837585,2025/09/26 20:07:19,32.5
0:22:52.000,3.2604,59.844532,195.979904,2025/09/26 20:07:20,32.5
0:22:53.000,3.2604,59.888142,196.12207,2025/09/26 20:07:21,32.5
0:22:54.000,3.2602,59.931751,196.264236,2025/09/26 20:07:22,32.5
0:22:55.000,3.2604,59.975365,196.406418,2025/09/26 20:07:23,32.5
0:22:56.000,3.2604,60.018974,196.548584,2025/09/26 20:07:24,32.5
0:22:57.000,3.2604,60.062584,196.69075,2025/09/26 20:07:25,32.5
0:22:58.000,3.2604,60.106197,196.832932,2025/09/26 20:07:26,32.5
0:22:59.000,3.2603,60.149765,196.97496,2025/09/26 20:07:27,32.5
0:23:00.000,3.2604,60.193417,197.117264,2025/09/26 20:07:28,32.5
0:23:01.000,3.2602,60.23703,197.259445,2025/09/26 20:07:29,32.5
0:23:02.000,3.2603,60.28064,197.401611,2025/09/26 20:07:30,32.5
0:23:03.000,3.2604,60.324249,197.543777,2025/09/26 20:07:31,32.5
0:23:04.000,3.2604,60.367863,197.685959,2025/09/26 20:07:32,32.5
0:23:05.000,3.2602,60.411514,197.828262,2025/09/26 20:07:33,32.5
0:23:06.000,3.2603,60.45517,197.970581,2025/09/26 20:07:34,32.5
0:23:07.000,3.2602,60.498695,198.112473,2025/09/26 20:07:35,32.5
0:23:08.000,3.2604,60.542305,198.254639,2025/09/26 20:07:36,32.5
0:23:09.000,3.2604,60.585873,198.396667,2025/09/26 20:07:37,32.5
0:23:10.000,3.2602,60.629482,198.538834,2025/09/26 20:07:38,32.5
0:23:11.000,3.2603,60.672874,198.680298,2025/09/26 20:07:39,32.5
0:23:12.000,3.2601,60.716747,198.823318,2025/09/26 20:07:40,32.5
0:23:13.000,3.2603,60.760315,198.965347,2025/09/26 20:07:41,32.5
0:23:14.000,3.2601,60.803925,199.107529,2025/09/26 20:07:42,32.5
0:23:15.000,3.2602,60.84758,199.249832,2025/09/26 20:07:43,32.5
0:23:16.000,3.2602,60.89119,199.392014,2025/09/26 20:07:44,32.5
0:23:17.000,3.2602,60.934803,199.53418,2025/09/26 20:07:45,32.5
0:23:18.000,3.2601,60.978325,199.676071,2025/09/26 20:07:46,32.5
0:23:19.000,3.2602,61.022022,199.818512,2025/09/26 20:07:47,32.5
0:23:20.000,3.2602,61.065636,199.960678,2025/09/26 20:07:48,32.5
0:23:21.000,3.2601,61.109158,200.102554,2025/09/26 20:07:49,32.5
0:23:22.000,3.2601,61.152855,200.24501,2025/09/26 20:07:50,32.5
0:23:23.000,3.2601,61.196423,200.387039,2025/09/26 20:07:51,32.5
0:23:24.000,3.2601,61.240078,200.529343,2025/09/26 20:07:52,32.5
0:23:25.000,3.2601,61.283646,200.671356,2025/09/26 20:07:53,32.5
0:23:26.000,3.2599,61.327301,200.81366,2025/09/26 20:07:54,32.5
0:23:27.000,3.2599,61.370865,200.955658,2025/09/26 20:07:55,32.5
0:23:28.000,3.2599,61.41452,201.097946,2025/09/26 20:07:56,32.5
0:23:29.000,3.2601,61.458134,201.240097,2025/09/26 20:07:57,32.5
0:23:30.000,3.2601,61.501698,201.382111,2025/09/26 20:07:58,32.5
0:23:31.000,3.2599,61.545048,201.523407,2025/09/26 20:07:59,32.5
0:23:32.000,3.2601,61.588879,201.66626,2025/09/26 20:08:00,32.5
0:23:33.000,3.26,61.632576,201.808685,2025/09/26 20:08:01,32.5
0:23:34.000,3.2602,61.676144,201.950699,2025/09/26 20:08:02,32.5
0:23:35.000,3.2599,61.719795,202.092972,2025/09/26 20:08:03,32.5
0:23:36.000,3.26,61.763409,202.235107,2025/09/26 20:08:04,32.5
0:23:37.000,3.26,61.806755,202.376389,2025/09/26 20:08:05,32.5
0:23:38.000,3.2599,61.850628,202.519379,2025/09/26 20:08:06,32.5
0:23:39.000,3.2598,61.894196,202.661362,2025/09/26 20:08:07,32.5
0:23:40.000,3.2599,61.937809,202.803497,2025/09/26 20:08:08,32.5
0:23:41.000,3.2598,61.981419,202.945633,2025/09/26 20:08:09,32.5
0:23:42.000,3.26,62.025028,203.087769,2025/09/26 20:08:10,32.5
0:23:43.000,3.2599,62.068642,203.229904,2025/09/26 20:08:11,32.5
0:23:44.000,3.2599,62.112251,203.372025,2025/09/26 20:08:12,32.5
0:23:45.000,3.2599,62.155907,203.514297,2025/09/26 20:08:13,32.5
0:23:46.000,3.26,62.199516,203.656433,2025/09/26 20:08:14,32.5
0:23:47.000,3.2599,62.243084,203.798416,2025/09/26 20:08:15,32.5
0:23:48.000,3.2597,62.286739,203.940689,2025/09/26 20:08:16,32.5
0:23:49.000,3.2597,62.330391,204.082947,2025/09/26 20:08:17,32.5
0:23:50.000,3.2598,62.373959,204.224945,2025/09/26 20:08:18,32.5
0:23:51.000,3.2597,62.417572,204.367065,2025/09/26 20:08:19,32.5
0:23:52.000,3.2598,62.461224,204.509338,2025/09/26 20:08:20,32.5
0:23:53.000,3.2599,62.504837,204.651459,2025/09/26 20:08:21,32.5
0:23:54.000,3.2598,62.548359,204.793304,2025/09/26 20:08:22,32.5
0:23:55.000,3.2598,62.592014,204.935577,2025/09/26 20:08:23,32.5
0:23:56.000,3.2598,62.635624,205.077713,2025/09/26 20:08:24,32.5
0:23:57.000,3.2597,62.679234,205.219833,2025/09/26 20:08:25,32.5
0:23:58.000,3.2599,62.722847,205.361954,2025/09/26 20:08:26,32.5
0:23:59.000,3.2596,62.766457,205.504089,2025/09/26 20:08:27,32.5
0:24:00.000,3.2597,62.810066,205.64621,2025/09/26 20:08:28,32.5
0:24:01.000,3.2597,62.853722,205.788483,2025/09/26 20:08:29,32.5
0:24:02.000,3.2597,62.897247,205.930328,2025/09/26 20:08:30,32.5
0:24:03.000,3.2595,62.940857,206.072464,2025/09/26 20:08:31,32.5
0:24:04.000,3.2597,62.984467,206.214584,2025/09/26 20:08:32,32.5
0:24:05.000,3.2597,63.028122,206.356857,2025/09/26 20:08:33,32.5
0:24:06.000,3.2597,63.071732,206.498978,2025/09/26 20:08:34,32.5
0:24:07.000,3.2595,63.115299,206.640976,2025/09/26 20:08:35,32.5
0:24:08.000,3.2596,63.158955,206.783234,2025/09/26 20:08:36,32.5
0:24:09.000,3.2595,63.202522,206.925217,2025/09/26 20:08:37,32.5
0:24:10.000,3.2594,63.246132,207.067352,2025/09/26 20:08:38,32.5
0:24:11.000,3.2596,63.289787,207.209625,2025/09/26 20:08:39,32.5
0:24:12.000,3.2595,63.333443,207.351898,2025/09/26 20:08:40,32.5
0:24:13.000,3.2596,63.37701,207.493881,2025/09/26 20:08:41,32.5
0:24:14.000,3.2595,63.420532,207.635727,2025/09/26 20:08:42,32.5
0:24:15.000,3.2595,63.464188,207.777985,2025/09/26 20:08:43,32.5
0:24:16.000,3.2597,63.507885,207.920395,2025/09/26 20:08:44,32.5
0:24:17.000,3.2594,63.551453,208.062393,2025/09/26 20:08:45,32.5
0:24:18.000,3.2595,63.595062,208.204514,2025/09/26 20:08:46,32.5
0:24:19.000,3.2594,63.63863,208.346497,2025/09/26 20:08:47,32.5
0:24:20.000,3.2594,63.682285,208.48877,2025/09/26 20:08:48,32.5
0:24:21.000,3.2595,63.725895,208.630905,2025/09/26 20:08:49,32.5
0:24:22.000,3.2594,63.769505,208.773026,2025/09/26 20:08:50,32.5
0:24:23.000,3.2594,63.813118,208.915161,2025/09/26 20:08:51,32.5
0:24:24.000,3.2595,63.856728,209.057281,2025/09/26 20:08:52,32.5
0:24:25.000,3.2594,63.900337,209.199402,2025/09/26 20:08:53,32.5
0:24:26.000,3.2595,63.943905,209.3414,2025/09/26 20:08:54,32.5
0:24:27.000,3.2594,63.987602,209.48381,2025/09/26 20:08:55,32.5
0:24:28.000,3.2594,64.031174,209.625793,2025/09/26 20:08:56,32.5
0:24:29.000,3.2594,64.074043,209.765503,2025/09/26 20:08:57,32.5
0:24:30.000,3.2593,64.118393,209.910049,2025/09/26 20:08:58,32.6
0:24:31.000,3.2594,64.162003,210.05217,2025/09/26 20:08:59,32.6
0:24:32.000,3.2592,64.205612,210.194305,2025/09/26 20:09:00,32.6
0:24:33.000,3.2593,64.249222,210.336426,2025/09/26 20:09:01,32.6
0:24:34.000,3.2593,64.292839,210.478561,2025/09/26 20:09:02,32.6
0:24:35.000,3.2592,64.336449,210.620682,2025/09/26 20:09:03,32.6
0:24:36.000,3.2593,64.380013,210.762665,2025/09/26 20:09:04,32.6
0:24:37.000,3.2593,64.423668,210.904938,2025/09/26 20:09:05,32.6
0:24:38.000,3.2591,64.467278,211.047073,2025/09/26 20:09:06,32.6
0:24:39.000,3.2594,64.510887,211.189194,2025/09/26 20:09:07,32.6
0:24:40.000,3.2592,64.554413,211.331039,2025/09/26 20:09:08,32.6
0:24:41.000,3.2592,64.598114,211.47345,2025/09/26 20:09:09,32.6
0:24:42.000,3.2592,64.641678,211.615433,2025/09/26 20:09:10,32.6
0:24:43.000,3.2592,64.684677,211.755569,2025/09/26 20:09:11,32.6
0:24:44.000,3.259,64.728989,211.899979,2025/09/26 20:09:12,32.6
0:24:45.000,3.2591,64.772552,212.041962,2025/09/26 20:09:13,32.6
0:24:46.000,3.2592,64.815468,212.181808,2025/09/26 20:09:14,32.6
0:24:47.000,3.2591,64.859734,212.326065,2025/09/26 20:09:15,32.6
0:24:48.000,3.2591,64.903343,212.468201,2025/09/26 20:09:16,32.6
0:24:49.000,3.2592,64.946259,212.608047,2025/09/26 20:09:17,32.6
0:24:50.000,3.2591,64.990524,212.752304,2025/09/26 20:09:18,32.6
0:24:51.000,3.259,65.03418,212.894562,2025/09/26 20:09:19,32.6
0:24:52.000,3.2592,65.077827,213.036819,2025/09/26 20:09:20,32.6
0:24:53.000,3.259,65.121445,213.17894,2025/09/26 20:09:21,32.6
0:24:54.000,3.2592,65.165054,213.32106,2025/09/26 20:09:22,32.6
0:24:55.000,3.2591,65.208664,213.463181,2025/09/26 20:09:23,32.6
0:24:56.000,3.259,65.252228,213.605164,2025/09/26 20:09:24,32.6
0:24:57.000,3.2588,65.295845,213.747269,2025/09/26 20:09:25,32.6
0:24:58.000,3.2592,65.339493,213.889526,2025/09/26 20:09:26,32.6
0:24:59.000,3.2588,65.38311,214.031631,2025/09/26 20:09:27,32.6
0:25:00.000,3.259,65.426674,214.173599,2025/09/26 20:09:28,32.6
0:25:01.000,3.259,65.470329,214.315842,2025/09/26 20:09:29,32.6
0:25:02.000,3.2591,65.513893,214.457779,2025/09/26 20:09:30,32.6
0:25:03.000,3.259,65.55751,214.599884,2025/09/26 20:09:31,32.6
0:25:04.000,3.2589,65.601158,214.742126,2025/09/26 20:09:32,32.6
0:25:05.000,3.259,65.644814,214.884354,2025/09/26 20:09:33,32.6
0:25:06.000,3.259,65.688339,215.026169,2025/09/26 20:09:34,32.6
0:25:07.000,3.259,65.731949,215.168274,2025/09/26 20:09:35,32.6
0:25:08.000,3.2589,65.775558,215.310364,2025/09/26 20:09:36,32.6
0:25:09.000,3.2588,65.819214,215.452591,2025/09/26 20:09:37,32.6
0:25:10.000,3.2588,65.86274,215.594391,2025/09/26 20:09:38,32.6
0:25:11.000,3.2589,65.906219,215.736053,2025/09/26 20:09:39,32.6
0:25:12.000,3.259,65.949959,215.878571,2025/09/26 20:09:40,32.6
0:25:13.000,3.2589,65.99366,216.020935,2025/09/26 20:09:41,32.6
0:25:14.000,3.2588,66.037224,216.162872,2025/09/26 20:09:42,32.6
0:25:15.000,3.2588,66.080879,216.305099,2025/09/26 20:09:43,32.6
0:25:16.000,3.2588,66.124756,216.448044,2025/09/26 20:09:44,32.5
0:25:17.000,3.2587,66.168098,216.589279,2025/09/26 20:09:45,32.5
0:25:18.000,3.2588,66.21167,216.731216,2025/09/26 20:09:46,32.5
0:25:19.000,3.2588,66.25528,216.873306,2025/09/26 20:09:47,32.5
0:25:20.000,3.2588,66.298935,217.015533,2025/09/26 20:09:48,32.5
0:25:21.000,3.2588,66.342499,217.157471,2025/09/26 20:09:49,32.5
0:25:22.000,3.2587,66.386154,217.299698,2025/09/26 20:09:50,32.5
0:25:23.000,3.2588,66.429726,217.441635,2025/09/26 20:09:51,32.5
0:25:24.000,3.2587,66.473419,217.584015,2025/09/26 20:09:52,32.5
0:25:25.000,3.2587,66.516991,217.725952,2025/09/26 20:09:53,32.5
0:25:26.000,3.2587,66.560555,217.867889,2025/09/26 20:09:54,32.5
0:25:27.000,3.2587,66.60421,218.010117,2025/09/26 20:09:55,32.5
0:25:28.000,3.2587,66.64782,218.152206,2025/09/26 20:09:56,32.5
0:25:29.000,3.2588,66.691429,218.294296,2025/09/26 20:09:57,32.5
0:25:30.000,3.2587,66.734955,218.436096,2025/09/26 20:09:58,32.5
0:25:31.000,3.2587,66.778656,218.578461,2025/09/26 20:09:59,32.5
0:25:32.000,3.2587,66.822311,218.720688,2025/09/26 20:10:00,32.5
0:25:33.000,3.2586,66.865875,218.862625,2025/09/26 20:10:01,32.5
0:25:34.000,3.2587,66.909485,219.004715,2025/09/26 20:10:02,32.5
0:25:35.000,3.2584,66.953094,219.14679,2025/09/26 20:10:03,32.5
0:25:36.000,3.2587,66.996704,219.288879,2025/09/26 20:10:04,32.5
0:25:37.000,3.2586,67.040321,219.430969,2025/09/26 20:10:05,32.5
0:25:38.000,3.2586,67.083931,219.573044,2025/09/26 20:10:06,32.5
0:25:39.000,3.2587,67.127586,219.715271,2025/09/26 20:10:07,32.5
0:25:40.000,3.2583,67.17115,219.857208,2025/09/26 20:10:08,32.5
0:25:41.000,3.2586,67.21476,219.999298,2025/09/26 20:10:09,32.5
0:25:42.000,3.2585,67.25811,220.140533,2025/09/26 20:10:10,32.5
0:25:43.000,3.2585,67.301987,220.283463,2025/09/26 20:10:11,32.5
0:25:44.000,3.2585,67.345596,220.425552,2025/09/26 20:10:12,32.5
0:25:45.000,3.2583,67.38855,220.565506,2025/09/26 20:10:13,32.5
0:25:46.000,3.2585,67.43277,220.709579,2025/09/26 20:10:14,32.5
0:25:47.000,3.2585,67.476387,220.851654,2025/09/26 20:10:15,32.5
0:25:48.000,3.2585,67.520035,220.993881,2025/09/26 20:10:16,32.5
0:25:49.000,3.2583,67.56369,221.136108,2025/09/26 20:10:17,32.5
0:25:50.000,3.2583,67.6073,221.278198,2025/09/26 20:10:18,32.6
0:25:51.000,3.2584,67.650826,221.419998,2025/09/26 20:10:19,32.6
0:25:52.000,3.2585,67.694481,221.562225,2025/09/26 20:10:20,32.6
0:25:53.000,3.2582,67.738091,221.7043,2025/09/26 20:10:21,32.6
0:25:54.000,3.2585,67.781616,221.8461,2025/09/26 20:10:22,32.6
0:25:55.000,3.2584,67.82531,221.98848,2025/09/26 20:10:23,32.6
0:25:56.000,3.2583,67.868881,222.130417,2025/09/26 20:10:24,32.6
0:25:57.000,3.2585,67.912491,222.272507,2025/09/26 20:10:25,32.6
0:25:58.000,3.2581,67.95549,222.412598,2025/09/26 20:10:26,32.6
0:25:59.000,3.2582,67.999756,222.556808,2025/09/26 20:10:27,32.6
0:26:00.000,3.2583,68.043365,222.698898,2025/09/26 20:10:28,32.6
0:26:01.000,3.2581,68.086937,222.840836,2025/09/26 20:10:29,32.6
0:26:02.000,3.2584,68.130592,222.983063,2025/09/26 20:10:30,32.6
0:26:03.000,3.2583,68.174156,223.125,2025/09/26 20:10:31,32.5
0:26:04.000,3.2581,68.217766,223.26709,2025/09/26 20:10:32,32.5
0:26:05.000,3.2583,68.261421,223.409317,2025/09/26 20:10:33,32.5
0:26:06.000,3.2582,68.304993,223.551254,2025/09/26 20:10:34,32.5
0:26:07.000,3.2581,68.34864,223.693481,2025/09/26 20:10:35,32.5
0:26:08.000,3.2582,68.392258,223.835571,2025/09/26 20:10:36,32.5
0:26:09.000,3.2581,68.435822,223.977509,2025/09/26 20:10:37,32.5
0:26:10.000,3.2583,68.479477,224.119736,2025/09/26 20:10:38,32.5
0:26:11.000,3.2581,68.523087,224.261826,2025/09/26 20:10:39,32.5
0:26:12.000,3.258,68.56665,224.403763,2025/09/26 20:10:40,32.5
0:26:13.000,3.2582,68.610306,224.54599,2025/09/26 20:10:41,32.5
0:26:14.000,3.258,68.653656,224.68721,2025/09/26 20:10:42,32.5
0:26:15.000,3.2581,68.697487,224.830017,2025/09/26 20:10:43,32.5
0:26:16.000,3.2581,68.740883,224.97139,2025/09/26 20:10:44,32.5
0:26:17.000,3.258,68.784798,225.114456,2025/09/26 20:10:45,32.5
0:26:18.000,3.2582,68.828362,225.256393,2025/09/26 20:10:46,32.5
0:26:19.000,3.2581,68.871971,225.398468,2025/09/26 20:10:47,32.5
0:26:20.000,3.2581,68.915581,225.540558,2025/09/26 20:10:48,32.5
0:26:21.000,3.2581,68.959152,225.682495,2025/09/26 20:10:49,32.5
0:26:22.000,3.2579,69.002762,225.824554,2025/09/26 20:10:50,32.5
0:26:23.000,3.2581,69.046417,225.966782,2025/09/26 20:10:51,32.5
0:26:24.000,3.2581,69.089981,226.108704,2025/09/26 20:10:52,32.5
0:26:25.000,3.2581,69.133636,226.250916,2025/09/26 20:10:53,32.5
0:26:26.000,3.2581,69.177208,226.392838,2025/09/26 20:10:54,32.5
0:26:27.000,3.2579,69.220863,226.535049,2025/09/26 20:10:55,32.5
0:26:28.000,3.2579,69.264427,226.676971,2025/09/26 20:10:56,32.5
0:26:29.000,3.258,69.307823,226.818314,2025/09/26 20:10:57,32.5
0:26:30.000,3.2579,69.351692,226.961227,2025/09/26 20:10:58,32.5
0:26:31.000,3.258,69.395302,227.103287,2025/09/26 20:10:59,32.5
0:26:32.000,3.2579,69.438911,227.245346,2025/09/26 20:11:00,32.5
0:26:33.000,3.258,69.482483,227.387238,2025/09/26 20:11:01,32.5
0:26:34.000,3.2578,69.526138,227.529434,2025/09/26 20:11:02,32.5
0:26:35.000,3.2578,69.569008,227.669052,2025/09/26 20:11:03,32.5
0:26:36.000,3.258,69.613312,227.813385,2025/09/26 20:11:04,32.5
0:26:37.000,3.2578,69.656967,227.955566,2025/09/26 20:11:05,32.5
0:26:38.000,3.2578,69.700539,228.097473,2025/09/26 20:11:06,32.5
0:26:39.000,3.2578,69.744148,228.239517,2025/09/26 20:11:07,32.5
0:26:40.000,3.2578,69.787758,228.381561,2025/09/26 20:11:08,32.5
0:26:41.000,3.2578,69.831413,228.523743,2025/09/26 20:11:09,32.5
0:26:42.000,3.2577,69.875069,228.665924,2025/09/26 20:11:10,32.5
0:26:43.000,3.2579,69.918549,228.807541,2025/09/26 20:11:11,32.5
0:26:44.000,3.2578,69.962242,228.94986,2025/09/26 20:11:12,32.5
0:26:45.000,3.2578,70.005852,229.091904,2025/09/26 20:11:13,32.5
0:26:46.000,3.2578,70.049332,229.233521,2025/09/26 20:11:14,32.5
0:26:47.000,3.2576,70.093079,229.375992,2025/09/26 20:11:15,32.5
0:26:48.000,3.2576,70.136642,229.517883,2025/09/26 20:11:16,32.5
0:26:49.000,3.2577,70.180298,229.660065,2025/09/26 20:11:17,32.5
0:26:50.000,3.2576,70.223907,229.802109,2025/09/26 20:11:18,32.5
0:26:51.000,3.2577,70.267258,229.943298,2025/09/26 20:11:19,32.5
0:26:52.000,3.2577,70.311134,230.086197,2025/09/26 20:11:20,32.5
0:26:53.000,3.2576,70.354744,230.228226,2025/09/26 20:11:21,32.5
0:26:54.000,3.2576,70.398399,230.370407,2025/09/26 20:11:22,32.5
0:26:55.000,3.2578,70.441917,230.512177,2025/09/26 20:11:23,32.5
0:26:56.000,3.2576,70.485527,230.654205,2025/09/26 20:11:24,32.5
0:26:57.000,3.2578,70.527573,230.791138,2025/09/26 20:11:25,32.5
0:26:58.000,3.2576,70.572754,230.938293,2025/09/26 20:11:26,32.5
0:26:59.000,3.2574,70.616409,231.080475,2025/09/26 20:11:27,32.5
0:27:00.000,3.2576,70.660019,231.222519,2025/09/26 20:11:28,32.5
0:27:01.000,3.2575,70.703674,231.3647,2025/09/26 20:11:29,32.5
0:27:02.000,3.2575,70.747284,231.506744,2025/09/26 20:11:30,32.5
0:27:03.000,3.2574,70.79081,231.648499,2025/09/26 20:11:31,32.5
0:27:04.000,3.2576,70.834419,231.790527,2025/09/26 20:11:32,32.5
0:27:05.000,3.2576,70.878113,231.932861,2025/09/26 20:11:33,32.5
0:27:06.000,3.2574,70.921684,232.074753,2025/09/26 20:11:34,32.5
0:27:07.000,3.2574,70.965248,232.21666,2025/09/26 20:11:35,32.5
0:27:08.000,3.2574,71.008904,232.358841,2025/09/26 20:11:36,32.5
0:27:09.000,3.2576,71.052475,232.500732,2025/09/26 20:11:37,32.6
0:27:10.000,3.2574,71.096085,232.642776,2025/09/26 20:11:38,32.6
0:27:11.000,3.2574,71.13974,232.784958,2025/09/26 20:11:39,32.6
0:27:12.000,3.2575,71.183304,232.926865,2025/09/26 20:11:40,32.6
0:27:13.000,3.2574,71.226959,233.069046,2025/09/26 20:11:41,32.6
0:27:14.000,3.2574,71.270523,233.210938,2025/09/26 20:11:42,32.6
0:27:15.000,3.2575,71.31414,233.352982,2025/09/26 20:11:43,32.6
0:27:16.000,3.2574,71.35849,233.497437,2025/09/26 20:11:44,32.6
0:27:17.000,3.2574,71.40184,233.638626,2025/09/26 20:11:45,32.6
0:27:18.000,3.2573,71.44545,233.78067,2025/09/26 20:11:46,32.6
0:27:19.000,3.2573,71.48893,233.922272,2025/09/26 20:11:47,32.6
0:27:20.000,3.2574,71.532669,234.064743,2025/09/26 20:11:48,32.6
0:27:21.000,3.2575,71.576279,234.206787,2025/09/26 20:11:49,32.6
0:27:22.000,3.2573,71.619934,234.348969,2025/09/26 20:11:50,32.6
0:27:23.000,3.2573,71.663506,234.49086,2025/09/26 20:11:51,32.6
0:27:24.000,3.2572,71.707115,234.632904,2025/09/26 20:11:52,32.6
0:27:25.000,3.2573,71.750771,234.775085,2025/09/26 20:11:53,32.6
0:27:26.000,3.2574,71.794289,234.91684,2025/09/26 20:11:54,32.6
0:27:27.000,3.2571,71.837944,235.059021,2025/09/26 20:11:55,32.7
0:27:28.000,3.2571,71.881554,235.201065,2025/09/26 20:11:56,32.7
0:27:29.000,3.2571,71.925209,235.343246,2025/09/26 20:11:57,32.7
0:27:30.000,3.2572,71.968689,235.484863,2025/09/26 20:11:58,32.7
0:27:31.000,3.2574,72.012474,235.627472,2025/09/26 20:11:59,32.7
0:27:32.000,3.2572,72.055954,235.769089,2025/09/26 20:12:00,32.7
0:27:33.000,3.2571,72.099655,235.911407,2025/09/26 20:12:01,32.7
0:27:34.000,3.2571,72.143219,236.053314,2025/09/26 20:12:02,32.7
0:27:35.000,3.257,72.186836,236.195343,2025/09/26 20:12:03,32.7
0:27:36.000,3.2571,72.230446,236.337372,2025/09/26 20:12:04,32.7
0:27:37.000,3.2571,72.274055,236.479416,2025/09/26 20:12:05,32.7
0:27:38.000,3.2571,72.317665,236.621445,2025/09/26 20:12:06,32.7
0:27:39.000,3.2572,72.361275,236.763489,2025/09/26 20:12:07,32.7
0:27:40.000,3.2571,72.404846,236.90538,2025/09/26 20:12:08,32.7
0:27:41.000,3.2572,72.448456,237.047409,2025/09/26 20:12:09,32.7
0:27:42.000,3.2571,72.492111,237.189575,2025/09/26 20:12:10,32.7
0:27:43.000,3.257,72.535721,237.331589,2025/09/26 20:12:11,32.7
0:27:44.000,3.2573,72.579247,237.473328,2025/09/26 20:12:12,32.7
0:27:45.000,3.2569,72.62294,237.615631,2025/09/26 20:12:13,32.7
